Route,point 1,point 2,Distance
1,1,42,
2,42,3,
3,42,33,
4,33,4,
5,33,34,
6,34,5,
7,34,59,
8,59,17,
9,59,35,
10,35,18,
11,35,2,
12,2,19,
13,2,36,
14,36,20,
15,36,37,
16,37,16,
17,37,39,
18,39,38,
19,38,41,
20,41,43,
21,43,8,
22,43,9,
23,41,40,
24,40,7,
25,40,6,
26,38,49,
27,49,48,
28,48,15,
29,48,14,
30,49,46,
31,46,50,
32,50,51,
33,51,28,
34,51,27,
35,50,52,
36,52,26,
37,52,53,
38,53,30,
39,53,54,
40,54,31,
41,54,32,
42,46,45,
43,45,47,
44,47,13,
45,47,44,
46,44,10,
47,44,11,
48,44,12,
49,45,29,
50,39,55,
51,55,56,
52,56,57,
53,57,22,
54,57,21,
55,58,23,
56,58,24,
57,55,25,
